slug;quantity
drug_weed_bluedream;796
drug_weed_whitewidow;22
drug_weed_purple;22
drug_brique_weed;2
drug_brique_cocaine;2
drug_sachet_weed;905
drug_joint_purple;99
drug_poudre_cafe;1
farm_spray_pesticide;2
farm_engrais_vitesse;24
farm_engrais_booster;2
farm_feuille_rouler;48
farm_sachet_plastique;1140
poudre;1191
metal;49
polymere;5
ressort;9
canon;5
poignee;2
corp;14
corp_smg;9
corp_rifle;10
crosse;6
suppressor;1
tactical_suppressor;1
weapon_cal50;5
weapon_sns;7
weapon_heavy;2
weapon_ceramic;1
melee_katana;1
melee_knife;1
plan_mg;1
plan_cal50;5
plan_ak47;1
plan_combat_pdw;1
plan_combat_pistol;3
plan_pompe;1
plan_mini_smg;1
plan_ak_complet;2
tool_menottes;3
tool_decoupeur_plasma;1
tool_meuleuse_angle;7
tool_foreuse;1
tool_crochetage;1
elec_fil_cuivre;2
elec_grand_ecran;1
elec_carte_electronique;3
elec_petit_ecran;3
elec_carte_piratage;1
elec_cle_usb_phantom;1
elec_machine_traitement;2
misc_sac_tete;4
misc_bandage;67
misc_argent_sale;419082
ammo_45acp;847
ammo_9mm;1284
ammo_50ae;779
ammo_12gauge;78
ammo_556x45;314
ammo_50bmg;20
ammo_762x51;28
ammo_762x39;1041
